ID	name	rating	RD	vol
1	Abdelhamid, Ahmed           	1500	350	0.06
2	Acosta, Christian           	1500	350	0.06
3	Agishev, Kirill             	1782	71	0.05999432
4	Alexander, Sapphrodite      	1317	126	0.00599988
5	Alexander, Tess             	1500	350	0.06
6	Alexandre, Phillip          	1264	143	0.05999969
7	Allen, Clayton              	1465	215	0.05999848
8	Ansari, Jahaan              	1500	350	0.06
9	Antoine, Ed                 	1621	155	0.05999724
10	Aporta, Chris               	1469	139	0.05999459
11	Araujo-Simon, Jake          	1683	153	0.0600012
12	Arboleda, Carlos            	1590	145	0.05999481
13	Armsworth, Kieth            	1679	146	0.06000066
14	Attner, Michael             	1195	97	0.05999076
15	Auger, Michael NM           	2036	161	0.05999594
16	Aujay-Barnhart, Zavier      	1471	106	0.0599893
17	Avril, Eleanor              	1304	145	0.05999484
18	Awan, Aleem                 	1896	146	0.05999866
19	Awbery, Jeremiah            	1500	350	0.06
20	Bagga, Harmeet Singh        	1367	149	0.05999773
21	Baik, Jen                   	1500	350	0.06
22	Bamford, Michael            	1623	144	0.05999763
23	Banerjee, Shreyo            	1449	68	0.05990121
24	Banihashemi, Behtash        	1481	82	0.05998538
25	Bar, Ben                    	1406	69	0.05999234
26	Barroso, Jimmy              	1787	92	0.05998892
27	Bauder, Steve               	1172	179	0.06000627
28	Beardsley, Ben              	1682	77	0.06000695
29	Benzacken, Jack             	1465	150	0.05999721
30	Beauchamp, Kendra           	1289	149	0.06000444
31	Beaudoin De Roca, Itai      	1411	109	0.05999244
32	Bennett, Myles              	1500	350	0.06
33	Bernard, Raphael            	1500	350	0.06
34	Berry, Paul                 	1500	350	0.06
35	Biancuzzo, Matt             	1533	95	0.06000256
36	Bluffstone, Ari             	1854	147	0.05999664
37	Borimski, Arie              	1642	132	0.05999724
38	Boventer, Daniel            	1500	350	0.06
39	Bowen-Gaddy, Evan           	1475	109	0.05999478
40	Bret-harte, Christopher     	1313	157	0.05999434
41	Brown, Heather              	1434	175	0.05999672
42	Bryce, Peter                	1777	149	0.05999946
43	Buckley, Sean               	1173	106	0.05999752
44	Buitrago, Nicolas           	1500	350	0.06
45	Burke, Alex                 	1835	227	0.05999846
46	Bustillo, Joaquin           	1500	350	0.06
47	Bogusta, Theo               	1500	350	0.06
48	Cabasso,Glenn               	1979	122	0.05999899
49	Cadet, MJ                   	1678	145	0.05999643
50	Caldwell, Gabe              	1500	350	0.06
51	Calixto, Jilverto           	1253	103	0.05999095
52	Candelaria, Raynaldo        	1500	350	0.06
53	Cao, Justin                 	1664	117	0.06001412
54	Carino, Cesar               	1417	100	0.06000018
55	Cartagena, David            	1357	114	0.05999513
56	Cashore, Massey             	1815	109	0.06001317
57	Centeno, Abraham            	1470	107	0.05999726
58	Chair, Ben                  	1294	151	0.05999406
59	Chess, Emile                	1208	152	0.05999933
60	Cheung, Nick                	1211	182	0.06000033
61	Chiang, Hartley             	1865	141	0.06000063
62	Chiappini, Peter            	1604	73	0.05998532
63	Ching, Mike                 	1661	116	0.06000087
64	Cho, Joseph                 	1545	122	0.05999008
65	Chou, Yien                  	1500	350	0.06
66	Claveria, Jordyn            	1500	350	0.06
67	Coffin, Sawyer              	1500	350	0.06
68	Cohane, Cal                 	1359	152	0.05999974
69	Collins, Rob                	1342	152	0.05999933
70	Connolly, Chris             	1500	350	0.06
71	Cooper, Brendy              	1311	246	0.59789742
72	Corbblah, Jonathan          	2119	160	0.05999583
73	Cordero, Steven             	1282	149	0.05999484
74	Corea, Hector               	1530	111	0.05999677
75	Courtice, Ben               	1500	350	0.06
76	Cramer, Matthew             	1338	290	0.05999968
77	Crawford, Brooklyn          	1500	350	0.06
78	Creeks, Azani               	1204	148	0.0599929
79	Cross, Niki                 	1561	123	0.05999605
80	Cunniffe, Ayden             	1206	270	0.06000098
81	Cutrona, Jo                 	963	187	0.05999787
82	Damara, Rio                 	1161	151	0.05999636
83	Dansky, Neal                	1429	104	0.06000259
84	Daya, Sunil                 	1355	182	0.05999786
85	De Coursey, Dana            	1500	350	0.06
86	De Cuyper, Hendrik          	1774	76	0.05998616
87	De Dios, Diego              	2076	141	0.05999225
88	De Guzman, Zach             	1333	113	0.05999049
89	Dellapolla, Bjorn Valentino 	1332	121	0.0600074
90	Desmyter, Thomas            	1500	350	0.06
91	Diaz, Kevin                 	1500	350	0.06
92	Dinowitz, Emma              	1500	350	0.06
93	Dirkx, Ivan                 	1796	201	0.60683983
94	Dittmeier, Christian        	1514	70	0.05998271
95	Dorda, Ale                  	1518	108	0.05998727
96	Downey, Nick                	1501	151	0.06000504
97	Dugan, Michael              	1337	150	0.0599985
98	Dugre, Ryan                 	1500	350	0.06
99	Eames, Nick                 	1500	350	0.06
100	Edgard,Willy                	1899	170	0.05999428
101	Edmonds, Zedekiyah          	1500	350	0.06
102	Elgabrowny, Abdullah        	1080	220	0.05999942
103	Ei, Haythi                  	1342	102	0.06001593
104	Eiche, Jim                  	1500	350	0.06
105	Emmanuel, Robert            	1500	350	0.06
106	Evans, Holten               	1571	150	0.05999463
107	Farrow, Parnell             	1500	350	0.06
108	Feliu, Greg                 	1639	77	0.06000617
109	Fieger, David               	1500	350	0.06
110	Figeroux, Brian             	1500	350	0.06
111	Figeroux, Michael           	1500	350	0.06
112	Fikiet, Alex NM             	1500	350	0.06
113	Finke, Sam                  	1280	260	0.05999893
114	Finneran, Michael NM        	1926	236	0.6046983
115	Fisher, Zane                	1969	141	0.05999236
116	Fitton, Max                 	1500	350	0.06
117	Fogo Esquivel, Levi Kalani  	2006	74	0.05999913
118	Franco, Lucio               	1500	350	0.06
119	Friedman, Scott             	1132	161	0.05999298
120	Furman, Ana                 	1287	195	0.05999673
121	Ghabra, Sammi               	1600	138	0.05999148
122	Gandhi, Sarayna             	1226	136	0.05999897
123	Garcia, JP                  	1721	137	0.05999944
124	Garcia, Elian               	1898	190	0.05999661
125	Garcia, Miguel              	1961	89	0.05999058
126	Garrett, Benjamin           	1327	167	0.06000364
127	Glass, Daniel               	1527	183	0.05999606
128	Glinsky, Luka               	2021	74	0.05999078
129	Gulick, Clay                	1563	145	0.06000602
130	Goldfarb, Amy               	1051	201	0.06000066
131	Gonzalez, Luis              	1811	201	0.59987876
132	Gonzalez, Renee             	1500	350	0.06
133	Gordon, Adrianna            	1192	147	0.05999835
134	Granados, Mark              	1218	175	0.0599996
135	Grandillo, Kyle             	1068	181	0.05999646
136	Gray, Keith                 	1491	108	0.05997982
137	Grayson, Max                	1500	350	0.06
138	Grieve, Simcha              	1416	162	0.06000344
139	Grieve-Carlson, Grace       	1617	212	0.0599983
140	Grimaldi, Matthew           	1484	134	0.05999788
141	Grump, Foryst               	1254	153	0.05999878
142	Gryder, Zach                	1374	130	0.0599842
143	Guerrero, Ana               	1171	207	0.05999855
144	He, Luran                   	1500	350	0.06
145	Henry-Reid, Travis          	1581	135	0.05999431
146	Hernandez, Brayan           	1585	82	0.05999208
147	Hinson, Miles               	1338	290	0.05999968
148	Ho, Jeffery                 	1500	350	0.06
149	Hull, Cameron               	1743	84	0.05999601
150	lyer, Karan                 	1366	172	0.05999862
151	Jaeger, Antonella           	1074	125	0.0599942
152	Jaehn, Harrison             	1494	137	0.05999356
153	Jameson, Micah              	1518	69	0.05997588
154	Jarvis, Keyron              	1702	141	0.05999703
155	Jaweed, Azar                	1352	158	0.05999603
156	Jenness, Chris              	1712	141	0.06000027
157	Jimenez, Nolan              	1480	151	0.05999979
158	Johnson, Nico               	1500	350	0.06
159	Julian,  Tyler              	1500	350	0.06
160	Kagle, Sasha                	1933	153	0.06000024
161	Kahan, Simon                	1222	165	0.0599961
162	Kakushadze, Ilia NM         	2072	77	0.06000939
163	Kapoor, Kashev              	1500	350	0.06
164	Katz, Jackson               	1417	130	0.05999208
165	Kavouras, Christian         	1500	350	0.06
166	Kemp, Kai                   	1500	350	0.06
167	Kennedy, Ebony              	1189	96	0.0599902
168	Kennedy, John               	1842	153	0.05999547
169	Kenny-Maheux, Victor        	1500	350	0.06
170	Kharwadkar, Sagar           	1807	151	0.06000302
171	Klein, Kinneret             	1500	350	0.06
172	Klinkner, Konrad            	1500	350	0.06
173	Klots, Mark                 	1739	154	0.05999514
174	Ko, Joon                    	1719	148	0.05999529
175	Kogan, David                	1500	350	0.06
176	Kohn, Jordan                	1196	173	0.05999594
177	Korley,  Kassa IM           	2353	81	0.06000855
178	Kozikowski, Anthony         	1914	165	0.0599942
179	Kozikowski, Nathan          	1133	168	0.05999883
180	Krasnov, Andrey FM          	2004	98	0.05999847
181	Krawczyk, Nir               	1611	82	0.05996968
182	Kristiansen, Alex           	1551	201	0.05999717
183	Kumar, Adi                  	1500	350	0.06
184	Kural, Zeki                 	957	181	0.05999849
185	Lanin, Misha                	1500	350	0.06
186	Larson, Kirk                	1013	159	0.05999639
187	Laundry, Lisa               	1120	200	0.05999694
188	Laurent, Augustin           	1717	147	0.06000151
189	Lawson Jason                	1707	145	0.05999715
190	Leibowitz, Gabriel          	1864	177	0.05999556
191	Leinwand, Joseph            	1260	92	0.0599979
192	Leonard, Bert               	1809	167	0.05998401
193	Leu, Raymond                	1575	148	0.05999585
194	Levin, Anthony              	1758	142	0.05999752
195	Li, Nelson                  	1460	150	0.0599947
196	Li, Rob                     	1328	181	0.06000693
197	LiCalzi, Joseph             	1413	80	0.05998933
198	Lichtcsien, Max             	1500	350	0.06
199	Lidzhiev, David             	1532	113	0.05999855
200	Lin, Lisa                   	1500	350	0.06
201	Lin Feng, Rui               	1467	223	0.05999872
202	Lipkin, Max                 	1500	350	0.06
203	Liriano, Omar               	1039	156	0.05999365
204	Liu, Danny                  	1644	141	0.05999402
205	Liu, Glo                    	1424	78	0.05997683
206	Liu, Leonardo NM            	1935	113	0.05999255
207	Lopez, Angel                	1500	350	0.06
208	Lucero, Mara                	1615	151	0.05999327
209	Lukashov, Alex              	1304	165	0.06000113
210	Lukaszonas, James           	1418	117	0.05999927
211	Lynch, Kaelan               	1500	350	0.06
212	Machida, Sotaro             	1843	197	0.06000519
213	Madrigal, Pedro             	1672	144	0.06000438
214	Maloney, Dennis             	1358	88	0.05999333
215	Mandelman, Dan              	1492	140	0.05999753
216	Marianski, Mateusz          	1701	111	0.06000093
217	Marino, Nick                	1725	73	0.05997088
218	Marsh, Andrew               	1378	248	0.05999799
219	Marsh, Oliver               	1517	178	0.06000092
220	Martin, Kenneth             	1717	155	0.0600096
221	Martinez, Nico              	1405	90	0.0600173
222	Martinez, Shawn             	1500	350	0.06
223	Matthew, Jephson            	1500	350	0.06
224	Matyassy, Andras            	1500	350	0.06
225	Mayo, Miller                	1231	91	0.05999835
226	Mayo, Morgan                	1539	85	0.06000239
227	Mcdonough, Conor            	1291	97	0.05999211
228	McGrath, Ian                	1223	162	0.05999841
229	McLean, Wyatt               	1545	69	0.0599881
230	Medley, Maxwell             	1480	126	0.05999271
231	Meduri, Aakaash NM          	1867	91	0.05999732
232	Meduri, Vishaal             	1690	250	0.598852
233	Melendez, Geovanny          	1496	150	0.05999764
234	Mernacaj, John              	1500	350	0.06
235	Mero, Daniel                	1500	350	0.06
236	Mezzo, Zachary              	1588	153	0.05999775
237	Michael, Okikiola           	1243	177	0.05999976
238	Mignucci, Nico              	1042	175	0.06000034
239	Miller, Bryon               	1644	102	0.05999705
240	Miller, Noah                	1249	156	0.06000133
241	Milligan, Renwick           	1427	151	0.05999906
242	Moran, Augusto IM           	2083	149	0.05999606
243	Morris, Hannah              	1500	350	0.06
244	Morris-Suzuki, Alan NM      	2168	102	0.05999952
245	Motoc, Daniel               	1685	142	0.05998388
246	Najera, Manuel              	1674	148	0.0599988
247	Namavari, Armin             	1500	350	0.06
248	Narula, Gautam              	1634	136	0.05999614
249	Navarro, Diego              	1206	76	0.05999449
250	Nepa-Rewak, Max             	1548	147	0.06000209
251	Nessipbekov, Celeste        	1500	350	0.06
252	Nitis, Druss                	1360	144	0.05999682
253	Nochomovitz, Yigal          	1725	141	0.05999356
254	Nolan, Patrick              	1768	92	0.06000504
255	Noonan, Robert              	1500	350	0.06
256	Nugent, Jack                	1814	144	0.05999226
257	O'bumsawin, Nick            	1611	110	0.05998951
258	Ochoa, Paul                 	1500	350	0.06
259	Ogilvie, Anna               	1322	189	0.05999632
260	Okikiola, Michael           	1171	152	0.05999646
261	Okutani, Yota               	1500	350	0.06
262	Ong, Andy                   	1500	350	0.06
263	Otero, Joseph               	1587	157	0.0599965
264	Otto, Nicholas              	1500	350	0.06
265	Ovando, James               	1569	114	0.05989946
266	Oyama, Saye                 	1500	350	0.06
267	Ozkan, Ali                  	1500	350	0.06
268	Palmer, Michelle            	903	116	0.05998441
269	Papandrea, John             	1165	122	0.0599952
270	Pandey, Utkal               	1274	165	0.06000244
271	Paredes, Alexis NM          	2119	80	0.05998061
272	Park, Drew                  	1160	153	0.06000172
273	Park, Tony                  	1500	350	0.06
274	Parris, Michael             	1643	158	0.06000019
275	Patov, Vasia                	1628	140	0.05999674
276	Pena, Javier                	1208	145	0.05999751
277	Petrou, David               	1211	89	0.05999653
278	Pereyra, Juan FM            	2167	128	0.06000954
279	PG, Carlotta                	1500	350	0.06
280	Phillips, Felix             	1416	157	0.05999714
281	Picado, Rolando             	1515	185	0.05999651
282	Pimentel, Dave              	1500	350	0.06
283	Poberaj, Nejc               	1353	95	0.05998734
284	Price, George               	1213	140	0.05999706
285	Prosser, Mark               	1650	128	0.05999168
286	Puppala, Hruthik            	1892	145	0.05999542
287	Qian, Norman                	1492	120	0.05900322
288	Quiroc, Frank               	1658	147	0.05999881
289	Quiroz, Carmen              	1500	350	0.06
290	Raia, Vincent               	1297	232	0.05999833
291	Ramirez, Enrique            	929	218	0.59770388
292	Ramirez, Selvin             	1639	107	0.06000236
293	Ramirez, Pedro              	1261	156	0.05999718
294	Ramos, Rey                  	1253	186	0.05999808
295	Razo, Derek                 	1154	161	0.05999882
296	Richman, Elon               	1030	190	0.05999919
297	Rivera, Baldy               	1596	147	0.05999237
298	Roane, Eli                  	1602	97	0.05998664
299	Rodnikov, George            	1475	85	0.05999289
300	Rogers, Spencer             	1296	171	0.05999675
301	Rosa, Edgar                 	1213	108	0.05998788
302	Rosado, Charlie             	1500	350	0.06
303	Rosenfeld, Adam             	1590	78	0.05998845
304	Rosmarin, Jared             	1494	158	0.05999796
305	Ross, Gabriel               	1360	139	0.06000318
306	Ruffner, Matt               	1523	149	0.06000294
307	Ruiz, Fransisco             	1500	350	0.06
308	Rutta, Maya                 	1506	92	0.05999721
309	Salinas, Michael            	1630	141	0.060001
310	Salazar, Erik               	1500	350	0.06
311	Samuel, Timothy             	1084	145	0.0599952
312	Samuels, Jacob              	1256	121	0.0600012
313	Samuels, Malik              	1627	105	0.06000264
314	Santana, Talitha            	1663	127	0.06000898
315	Santiago, Naomi             	1723	159	0.06000184
316	Schraff, Alex               	1362	148	0.06000228
317	Schmidt, Simon              	2110	200	0.59647523
318	Schneider, Avi              	1477	93	0.05990562
319	Schwartz, Jacob             	1500	350	0.06
320	Schweid, Benji              	1253	140	0.05999634
321	Scully, Tim                 	1832	156	0.0599949
322	Seghers, Evan               	1803	182	0.06000177
323	Selden, Alex                	1624	142	0.05999899
324	Selwyn, Robbie              	1704	130	0.06000801
325	Sethi, Dylan                	1500	350	0.06
326	Sercombe, Willy             	1526	85	0.05999108
327	Seward, Sunny               	1285	201	0.05997718
328	Shafer, Travis              	1989	151	0.05999788
329	Sharf, Sam                  	1686	84	0.05999387
330	Sharuda, Kameliia           	1651	131	0.05999438
331	Shen, Spencer               	1874	153	0.05999701
332	Siegel, Evan                	1256	180	0.0599965
333	Silva, Miguel               	1421	107	0.0599848
334	Silva,Nico                  	1881	89	0.05999785
335	Simms, Tate                 	978	167	0.05999567
336	Singer, Alec                	1109	215	0.05999879
337	Singh, Amitoj               	1812	157	0.05999665
338	Singh, Ian                  	1500	350	0.06
339	Small, Jon                  	1477	121	0.059987
340	Smith, Jeramiah NM          	2123	90	0.05999716
341	Smith, Nile                 	1868	138	0.05999895
342	Sochacki, Wojtek IM         	1500	350	0.06
343	Soto, Johanna               	1500	350	0.06
344	Speaks,Shawn                	1347	148	0.05999557
345	Spohngellert, Oliver        	1813	158	0.05999548
346	Sullivan, Colin             	1534	112	0.06000543
347	Sun, Gloria                 	1590	149	0.06000838
348	Sutton, Donnell             	1500	350	0.06
349	Steil-Antoni, Fiona WIM     	1500	350	0.06
350	Stollman, Sunny             	1500	350	0.06
351	Stranger,Morris             	1935	114	0.05998883
352	Strauss, Sydney             	1434	184	0.06000071
353	Takawira, Erick             	1935	120	0.06000015
354	Tarabbia, Mario             	1453	145	0.05999079
355	Temirkhanov, Daniyar        	1500	350	0.06
356	Thies, Katie                	1405	145	0.05999277
357	Thorp, Yoko                 	1074	97	0.05999716
358	Tirpek, Gwynevere           	1598	113	0.05989895
359	Townsend, Ben               	1560	196	0.05999973
360	Trofimov, Eugene            	1749	87	0.05999871
361	Trofimov, Kira              	1356	114	0.05999195
362	Truong, William             	1072	170	0.05999449
363	Turner, Laurel              	1506	110	0.05999892
364	Valdez, Enrique             	1208	186	0.05999765
365	Valle, Liam                 	1591	135	0.06000049
366	Van Huben, CJ               	1475	149	0.05999333
367	Van Leeuwen, Lily           	1500	350	0.06
368	Vander Weele, Eric          	1500	350	0.06
369	Vas, Seyon                  	1625	74	0.06000629
370	Viceconte, Ryan             	1168	197	0.05999878
371	Vilchis, Uciel              	1500	350	0.06
372	Velasquez, Alex             	1500	350	0.06
373	Verstraete, James           	1023	184	0.05999813
374	Vouniseas, Theo             	897	162	0.05999626
375	Vulis, Danny NM             	1997	85	0.0600032
376	Wallace, Tripp              	1208	123	0.05999167
377	Walthrust, Najee-Ana        	1734	85	0.06000139
378	Walthrust, Nathaniel        	1710	115	0.05999681
379	Wang, Anthony               	1753	140	0.05999654
380	Wang, Daniel                	1461	77	0.06001801
381	Washimkar, Atharva          	1867	72	0.06000679
382	Watson, Benjamin            	1340	105	0.06000212
383	Waugh, Mali                 	1250	143	0.0599926
384	Wei, Arthur                 	1671	145	0.05998393
385	Wiess, Dana                 	1002	152	0.05999569
386	William, Luke               	1321	130	0.06000113
387	Witt, Emory                 	1969	155	0.06000361
388	Witworth, Will              	1331	176	0.06000089
389	Wright, Anthony             	1684	154	0.05999341
390	Yang, Jane                  	1370	143	0.05999584
391	Yao, Andy                   	1500	350	0.06
392	Yates, Dan                  	1798	246	0.60667499
393	Young, Ben                  	1500	350	0.06
394	Yu, Chang                   	1408	123	0.06000863
395	Zarenba, Carrie             	1500	350	0.06
396	Zinkel, Trent               	1111	157	0.05999576
397	Zinn, Andrew                	1606	241	0.06000904
398	Zohdi, Jacob                	1500	350	0.06
399	Baskoylu, Mehmet            	1629	146	0.05999643
400	Mosiolek, Damian            	1218	150	0.05999593
401	Holbrook, Hunter            	1382	260	0.05999889
402	Smith, Ben                  	1500	350	0.06
403	Ruf, Joshua                 	1500	350	0.06
404	Goodman, Oliver             	1500	350	0.06
405	Skelton, Tyne               	1500	350	0.06
406	Nkululekl, Nkosi            	1500	350	0.06
407	Jones, Walker               	1500	350	0.06
408	Koufakis, Michael           	1500	350	0.06
409	Abbas, Sean                 	1500	350	0.06
